Feature,Importance
id,0.2508844209640007
hemoglobin,0.23310139922348355
serum_creatinine,0.11731726352836576
specific_gravity,0.11120588052566481
packed_cell_volume,0.08572729770155789
albumin,0.04845307579993448
hypertension,0.03857550411748385
red_blood_cell_count,0.036021430493056644
diabetes_mellitus,0.020262761309111855
blood_glucose_random,0.017441843628520408
blood_urea,0.008533491651244457
sodium,0.005940454859554068
blood_pressure,0.004566678684890679
sugar,0.00446359396642289
age,0.0035980305223006393
white_blood_cell_count,0.0029495086123994085
potassium,0.0023619843107919865
pedal_edema,0.002047170007226386
red_blood_cells,0.0020050936004628326
pus_cell,0.0018403807261476368
anemia,0.0012053174042513436
appetite,0.001001206892170049
pus_cell_clumps,0.0003818234885947003
bacteria,0.00011438798236300431
coronary_artery_disease,0.0
